miRNA	n	DSW
hsa-mir-1295b	1	0.00117647058824
hsa-mir-3179-3	1	0.00117647058824
hsa-mir-3179-2	1	0.00117647058824
hsa-mir-92a-1	50	0.0588235294118
hsa-mir-92a-2	37	0.0435294117647
hsa-mir-548i	1	0.00117647058824
hsa-mir-302b	21	0.0247058823529
hsa-mir-26b	63	0.0741176470588
hsa-mir-26a	82	0.0964705882353
hsa-mir-1299	4	0.00470588235294
hsa-mir-627	4	0.00470588235294
hsa-mir-1343	1	0.00117647058824
hsa-mir-1267	1	0.00117647058824
hsa-mir-5338	1	0.00117647058824
hsa-mir-591	2	0.00235294117647
hsa-mir-1245a	1	0.00117647058824
hsa-mir-122a	2	0.00235294117647
hsa-mir-590	23	0.0270588235294
hsa-mir-5100	2	0.00235294117647
hsa-mir-624	4	0.00470588235294
hsa-mir-618	6	0.00705882352941
hsa-mir-302a	25	0.0294117647059
hsa-mir-3148	1	0.00117647058824
hsa-mir-592	12	0.0141176470588
hsa-mir-1269b	1	0.00117647058824
hsa-mir-1269a	2	0.00235294117647
hsa-mir-1293	1	0.00117647058824
hsa-mir-20	3	0.00352941176471
